,IGFBP1,IL12RB2,IL1R2,COL17A1,PKP1,CNV_Xq11.2,CNV_17q24.3,CNV_7q36.3,CNV_3p21.32,CNV_14q31.1,CNV_3q26.32,CNV_8p23.2,CNV_3p,CNV_1q43,CNV_Xq23,CNV_4q34.3,CNV_8q24.22,CNV_1q24.1,CNV_2q37.3,CNV_9p21.3,CNV_13q13.3,CNV_6q26,CNV_Xp22.2,CNV_1q32.1,CNV_3p25.3,CNV_5q35.1,CNV_1p36.23,CNV_1p31.1,CNV_10p14,CNV_4q32.1,CNV_10q23.31,CNV_9p23,CNV_3p12.2,CNV_3q11.2,CNV_Xp11.4
TCGA-CW-5581,21.47,85.82,559.28,4.94,7.34,-0.00027724,-0.0095426,0.0015255,-0.5294,-0.00069303,0.014609,-0.0042787,0.0,0.0,-0.00027724,0.0061017,0.0029133,0.0,0.0063871,-0.0018014,0.006109,0.016565,0.00056613,0.0,-0.5294,0.52485,0.0,0.0,-0.5244,0.010703,-0.0063668,-0.0018014,0.013074,0.013074,0.015727
TCGA-CJ-6033,1191.69,2.61,1088.92,1.51,14.56,-0.052984,0.018996,0.0035212,-0.55052,-0.38186,0.23432,-0.65814,-0.551,0.085275,-0.04599,-0.037167,0.22752,0.085275,0.029238,-0.37139,-0.017889,-0.013212,-0.052984,0.085275,-0.56432,0.59069,-0.21028,0.067142,0.0063921,-0.037167,-0.21424,-0.37139,-0.55052,0.18842,-0.052984
TCGA-CW-5580,116.78,20.11,155.5,1.81,18.7,-0.0051227,-0.0078863,0.00458,-0.5849,-0.41886,0.017963,-0.00013862,-0.585,0.006109,-0.0051227,-0.21627,-0.00013862,0.006109,0.0,-0.42844,0.0048579,0.010285,-0.0051227,0.006109,-0.59039,0.0086135,-0.24277,0.006109,0.0019418,-0.21627,-0.0020784,-0.42844,-0.5849,-0.5849,-0.0051227
TCGA-B0-5711,6.78,32.59,28.24,2.18,10.71,-0.020275,-0.0013174,0.010285,-0.60448,-0.49965,0.0059843,-0.0071958,-0.604,0.0,-0.020275,-0.01037,-0.0071958,0.0,0.0091705,-0.0085766,-0.0085766,-0.021921,-0.020275,0.0,-0.60448,0.58668,0.0,0.0,-0.022881,-0.01037,-0.028491,-0.0085766,0.00597,0.00597,-0.020275
TCGA-CJ-6030,293.07,242.88,392.44,5.5,15.8,-0.098945,0.008892,0.066372,-0.5162,-0.49996,0.010146,-0.45329,-0.516,0.020012,-0.098945,0.0070595,-0.3943,0.020012,-0.022258,-0.49225,-0.014599,-0.0016724,-0.098945,0.020012,-0.5162,0.053237,-0.51342,0.020012,-0.0066432,0.0070595,0.0,-0.49225,-0.5162,0.010146,-0.098945
TCGA-B0-4712,19754.96,10.71,1806.78,17.77,199.85,-0.035993,-0.24436,0.40028,-0.30216,-0.29189,0.40738,-0.31646,0.107,0.070817,-0.052613,-0.29378,0.080024,0.057511,0.057226,-0.2805,-0.30055,-0.30567,-0.035993,0.070817,-0.30216,0.4615,-0.090463,-0.91537,-0.2952,-0.29378,-0.2952,-0.2805,-0.30216,0.40978,-0.035993
TCGA-B8-5552,2.86,32.59,113.56,13.32,45.21,-0.0044312,0.0019418,-0.0028763,-0.39907,0.0,0.010006,-0.0013858,-0.394,-0.00013862,-0.0044312,0.0024969,-0.0013858,-0.00013862,-0.013402,0.0013868,0.00055459,0.0020805,-0.0044312,-0.00013862,-0.39907,0.39446,-0.00013862,-0.00013862,-0.0026322,0.0024969,-0.0026322,0.0013868,-0.39408,0.010006,-0.0044312
TCGA-CJ-5672,10.96,361.04,157.68,85.82,69.03,0.010424,0.0,-0.051181,-0.57358,-0.51177,0.0012247,-0.57568,-0.574,0.0091924,0.015028,0.0030014,0.017544,0.001803,0.49355,-0.0016629,-0.0049844,0.0055529,0.010424,0.001803,-0.57358,0.54431,-0.0034069,-0.0034069,-0.0056757,0.0030014,-0.0056757,-0.0016629,-0.56326,0.0058309,0.010424
TCGA-CJ-5679,3564.78,9.78,79572.48,4.94,1594.73,-0.033132,-0.023292,1.3464,-0.46323,-0.47205,-0.46323,-0.17619,-0.463,0.47255,-0.033132,-0.28917,-0.17904,0.48548,0.0020805,-0.47702,-0.466,-0.48256,-0.033132,0.48548,-0.46323,0.82213,-0.48292,-0.48292,0.0,-0.33283,0.0015655,-1.0155,-0.46323,-0.46323,-0.033132
TCGA-B0-5402,77.79,6.67,74.06,1.51,148.09,-0.1126,-0.0027707,-0.00027724,-0.59779,0.0087528,0.0094491,0.0044411,-0.598,0.0033299,-0.1126,-0.052936,0.0044411,0.0033299,0.00083195,-0.2828,0.0055529,-0.60158,-0.11995,0.0033299,-0.59779,0.57648,0.013213,-0.25277,0.0069435,-0.052936,-0.59292,-0.2828,-0.59779,0.0043975,-0.1126
